Accession	Coverage	Count_Good	Count_Raw
CP047902.1	16	326	326
CP047903.1	16	169	169
CP047904.1	16	284	284
CP047905.1	16	635	635
CP047906.1	16	229	229
CP047907.1	16	311	311
CP047908.1	16	667	667
CP047909.1	16	336	336
CP047910.1	16	219	219
CP047911.1	16	283	283
CP047912.1	16	382	382
CP047913.1	16	195	195
CP047914.1	16	237	237
CP047915.1	16	337	337
CP047902.1	160	14757	14757
CP047903.1	160	8016	8016
CP047904.1	160	10936	10936
CP047905.1	160	7729	7729
CP047906.1	160	13060	13060
CP047907.1	160	9765	9765
CP047908.1	160	11040	11040
CP047909.1	160	10850	10850
CP047910.1	160	7963	7963
CP047911.1	160	8129	8129
CP047912.1	160	10368	10368
CP047913.1	160	5582	5582
CP047914.1	160	6755	6755
CP047915.1	160	5769	5769
CP047902.1	161	13067	13067
CP047903.1	161	7302	7302
CP047904.1	161	9951	9951
CP047905.1	161	7276	7276
CP047906.1	161	11722	11722
CP047907.1	161	9185	9185
CP047908.1	161	10225	10225
CP047909.1	161	9988	9988
CP047910.1	161	7131	7131
CP047911.1	161	7361	7361
CP047912.1	161	9321	9321
CP047913.1	161	5197	5197
CP047914.1	161	6140	6140
CP047915.1	161	5454	5454
CP047902.1	162	11598	11598
CP047903.1	162	6517	6517
CP047904.1	162	8782	8782
CP047905.1	162	6812	6812
CP047906.1	162	10422	10422
CP047907.1	162	8722	8722
CP047908.1	162	9339	9339
CP047909.1	162	9251	9251
CP047910.1	162	6384	6384
CP047911.1	162	7009	7009
CP047912.1	162	8458	8458
CP047913.1	162	4708	4708
CP047914.1	162	5503	5503
CP047915.1	162	5046	5046
CP047902.1	163	10249	10249
CP047903.1	163	5692	5692
CP047904.1	163	8291	8291
CP047905.1	163	6209	6209
CP047906.1	163	9259	9259
CP047907.1	163	7688	7688
CP047908.1	163	8661	8661
CP047909.1	163	8359	8359
CP047910.1	163	5820	5820
CP047911.1	163	6203	6203
CP047912.1	163	7607	7607
CP047913.1	163	4441	4441
CP047914.1	163	5124	5124
CP047915.1	163	4550	4550
CP047902.1	164	9269	9269
CP047903.1	164	5054	5054
CP047904.1	164	7562	7562
CP047905.1	164	5442	5442
CP047906.1	164	8537	8537
CP047907.1	164	6770	6770
CP047908.1	164	7755	7755
CP047909.1	164	7524	7524
CP047910.1	164	5179	5179
CP047911.1	164	5441	5441
CP047912.1	164	7040	7040
CP047913.1	164	3990	3990
CP047914.1	164	4749	4749
CP047915.1	164	4040	4040
CP047902.1	165	8276	8276
CP047903.1	165	4527	4527
CP047904.1	165	6642	6642
CP047905.1	165	4872	4872
CP047906.1	165	7506	7506
CP047907.1	165	6084	6084
CP047908.1	165	7088	7088
CP047909.1	165	7123	7123
CP047910.1	165	4704	4704
CP047911.1	165	4933	4933
CP047912.1	165	6348	6348
CP047913.1	165	3497	3497
CP047914.1	165	4235	4235
CP047915.1	165	3804	3804
CP047902.1	166	7164	7164
CP047903.1	166	3940	3940
CP047904.1	166	5947	5947
CP047905.1	166	4247	4247
CP047906.1	166	6910	6910
CP047907.1	166	5483	5483
CP047908.1	166	6374	6374
CP047909.1	166	6381	6381
CP047910.1	166	4155	4155
CP047911.1	166	4295	4295
CP047912.1	166	5671	5671
CP047913.1	166	3046	3046
CP047914.1	166	3707	3707
CP047915.1	166	3421	3421
CP047902.1	167	6416	6416
CP047903.1	167	3480	3480
CP047904.1	167	5162	5162
CP047905.1	167	3889	3889
CP047906.1	167	6191	6191
CP047907.1	167	4912	4912
CP047908.1	167	5934	5934
CP047909.1	167	5742	5742
CP047910.1	167	3574	3574
CP047911.1	167	3765	3765
CP047912.1	167	5190	5190
CP047913.1	167	2764	2764
CP047914.1	167	3243	3243
CP047915.1	167	3190	3190
CP047902.1	168	5603	5603
CP047903.1	168	3087	3087
CP047904.1	168	4443	4443
CP047905.1	168	3544	3544
CP047906.1	168	5405	5405
CP047907.1	168	4343	4343
CP047908.1	168	5197	5197
CP047909.1	168	4959	4959
CP047910.1	168	3263	3263
CP047911.1	168	3385	3385
CP047912.1	168	4785	4785
CP047913.1	168	2402	2402
CP047914.1	168	3123	3123
CP047915.1	168	2802	2802
CP047902.1	169	5137	5137
CP047903.1	169	2793	2793
CP047904.1	169	4016	4016
CP047905.1	169	3183	3183
CP047906.1	169	4769	4769
CP047907.1	169	3849	3849
CP047908.1	169	4764	4764
CP047909.1	169	4390	4390
CP047910.1	169	2993	2993
CP047911.1	169	3077	3077
CP047912.1	169	4053	4053
CP047913.1	169	2289	2289
CP047914.1	169	2738	2738
CP047915.1	169	2508	2508
CP047902.1	17	445	445
CP047903.1	17	112	112
CP047904.1	17	302	302
CP047905.1	17	494	494
CP047906.1	17	191	191
CP047907.1	17	283	283
CP047908.1	17	483	483
CP047909.1	17	315	315
CP047910.1	17	281	281
CP047911.1	17	253	253
CP047912.1	17	382	382
CP047913.1	17	145	145
CP047914.1	17	240	240
CP047915.1	17	346	346
CP047902.1	170	4462	4462
CP047903.1	170	2546	2546
CP047904.1	170	3506	3506
CP047905.1	170	2934	2934
CP047906.1	170	4255	4255
CP047907.1	170	3354	3354
CP047908.1	170	4174	4174
CP047909.1	170	3773	3773
CP047910.1	170	2569	2569
CP047911.1	170	2675	2675
CP047912.1	170	3657	3657
CP047913.1	170	2017	2017
CP047914.1	170	2521	2521
CP047915.1	170	2352	2352
CP047902.1	171	4081	4081
CP047903.1	171	2218	2218
CP047904.1	171	3078	3078
CP047905.1	171	2554	2554
CP047906.1	171	3668	3668
CP047907.1	171	2903	2903
CP047908.1	171	3710	3710
CP047909.1	171	3322	3322
CP047910.1	171	2354	2354
CP047911.1	171	2464	2464
CP047912.1	171	3275	3275
CP047913.1	171	1820	1820
CP047914.1	171	2256	2256
CP047915.1	171	2068	2068
CP047902.1	172	3582	3582
CP047903.1	172	2012	2012
CP047904.1	172	2881	2881
CP047905.1	172	2302	2302
CP047906.1	172	3221	3221
CP047907.1	172	2624	2624
CP047908.1	172	3187	3187
CP047909.1	172	2823	2823
CP047910.1	172	2029	2029
CP047911.1	172	2306	2306
CP047912.1	172	2926	2926
CP047913.1	172	1650	1650
CP047914.1	172	2040	2040
CP047915.1	172	1911	1911
CP047902.1	173	3026	3026
CP047903.1	173	1686	1686
CP047904.1	173	2469	2469
CP047905.1	173	2098	2098
CP047906.1	173	2859	2859
CP047907.1	173	2341	2341
CP047908.1	173	2868	2868
CP047909.1	173	2538	2538
CP047910.1	173	1702	1702
CP047911.1	173	1966	1966
CP047912.1	173	2671	2671
CP047913.1	173	1405	1405
CP047914.1	173	1889	1889
CP047915.1	173	1744	1744
CP047902.1	174	2676	2676
CP047903.1	174	1475	1475
CP047904.1	174	2108	2108
CP047905.1	174	1751	1751
CP047906.1	174	2543	2543
CP047907.1	174	2131	2131
CP047908.1	174	2436	2436
CP047909.1	174	2154	2154
CP047910.1	174	1453	1453
CP047911.1	174	1738	1738
CP047912.1	174	2311	2311
CP047913.1	174	1311	1311
CP047914.1	174	1771	1771
CP047915.1	174	1605	1605
CP047902.1	175	2164	2164
CP047903.1	175	1301	1301
CP047904.1	175	1814	1814
CP047905.1	175	1566	1566
CP047906.1	175	2371	2371
CP047907.1	175	1807	1807
CP047908.1	175	2253	2253
CP047909.1	175	1920	1920
CP047910.1	175	1297	1297
CP047911.1	175	1562	1562
CP047912.1	175	2071	2071
CP047913.1	175	1149	1149
CP047914.1	175	1733	1733
CP047915.1	175	1511	1511
CP047902.1	176	2085	2085
CP047903.1	176	1217	1217
CP047904.1	176	1621	1621
CP047905.1	176	1405	1405
CP047906.1	176	2018	2018
CP047907.1	176	1606	1606
CP047908.1	176	1952	1952
CP047909.1	176	1655	1655
CP047910.1	176	1209	1209
CP047911.1	176	1383	1383
CP047912.1	176	1893	1893
CP047913.1	176	935	935
CP047914.1	176	1399	1399
CP047915.1	176	1263	1263
CP047902.1	177	1676	1676
CP047903.1	177	1101	1101
CP047904.1	177	1450	1450
CP047905.1	177	1184	1184
CP047906.1	177	1854	1854
CP047907.1	177	1347	1347
CP047908.1	177	1836	1836
CP047909.1	177	1434	1434
CP047910.1	177	972	972
CP047911.1	177	1172	1172
CP047912.1	177	1619	1619
CP047913.1	177	943	943
CP047914.1	177	1352	1352
CP047915.1	177	1064	1064
CP047902.1	178	1543	1543
CP047903.1	178	866	866
CP047904.1	178	1272	1272
CP047905.1	178	1063	1063
CP047906.1	178	1588	1588
CP047907.1	178	1184	1184
CP047908.1	178	1537	1537
CP047909.1	178	1198	1198
CP047910.1	178	873	873
CP047911.1	178	1086	1086
CP047912.1	178	1497	1497
CP047913.1	178	825	825
CP047914.1	178	1216	1216
CP047915.1	178	994	994
CP047902.1	179	1254	1254
CP047903.1	179	865	865
CP047904.1	179	1057	1057
CP047905.1	179	879	879
CP047906.1	179	1426	1426
CP047907.1	179	992	992
CP047908.1	179	1386	1386
CP047909.1	179	1087	1087
CP047910.1	179	724	724
CP047911.1	179	971	971
CP047912.1	179	1334	1334
CP047913.1	179	772	772
CP047914.1	179	1135	1135
CP047915.1	179	907	907
CP047902.1	18	384	384
CP047903.1	18	185	185
CP047904.1	18	332	332
CP047905.1	18	526	526
CP047906.1	18	179	179
CP047907.1	18	276	276
CP047908.1	18	402	402
CP047909.1	18	296	296
CP047910.1	18	297	297
CP047911.1	18	278	278
CP047912.1	18	321	321
CP047913.1	18	164	164
CP047914.1	18	240	240
CP047915.1	18	304	304
CP047902.1	180	1122	1122
CP047903.1	180	709	709
CP047904.1	180	925	925
CP047905.1	180	806	806
CP047906.1	180	1285	1285
CP047907.1	180	893	893
CP047908.1	180	1277	1277
CP047909.1	180	978	978
CP047910.1	180	644	644
CP047911.1	180	895	895
CP047912.1	180	1147	1147
CP047913.1	180	626	626
CP047914.1	180	1016	1016
CP047915.1	180	807	807
CP047902.1	181	948	948
CP047903.1	181	595	595
CP047904.1	181	736	736
CP047905.1	181	696	696
CP047906.1	181	1203	1203
CP047907.1	181	725	725
CP047908.1	181	1011	1011
CP047909.1	181	845	845
CP047910.1	181	531	531
CP047911.1	181	729	729
CP047912.1	181	1071	1071
CP047913.1	181	615	615
CP047914.1	181	886	886
CP047915.1	181	735	735
CP047902.1	182	862	862
CP047903.1	182	570	570
CP047904.1	182	679	679
CP047905.1	182	651	651
CP047906.1	182	1022	1022
CP047907.1	182	649	649
CP047908.1	182	875	875
CP047909.1	182	766	766
CP047910.1	182	507	507
CP047911.1	182	622	622
CP047912.1	182	870	870
CP047913.1	182	552	552
CP047914.1	182	833	833
CP047915.1	182	690	690
CP047902.1	183	827	827
CP047903.1	183	500	500
CP047904.1	183	590	590
CP047905.1	183	504	504
CP047906.1	183	989	989
CP047907.1	183	537	537
CP047908.1	183	662	662
CP047909.1	183	658	658
CP047910.1	183	459	459
CP047911.1	183	518	518
CP047912.1	183	780	780
CP047913.1	183	497	497
CP047914.1	183	696	696
CP047915.1	183	619	619
CP047902.1	184	783	783
CP047903.1	184	455	455
CP047904.1	184	532	532
CP047905.1	184	424	424
CP047906.1	184	800	800
CP047907.1	184	486	486
CP047908.1	184	588	588
CP047909.1	184	596	596
CP047910.1	184	388	388
CP047911.1	184	411	411
CP047912.1	184	679	679
CP047913.1	184	425	425
CP047914.1	184	669	669
CP047915.1	184	632	632
CP047902.1	185	595	595
CP047903.1	185	375	375
CP047904.1	185	480	480
CP047905.1	185	403	403
CP047906.1	185	767	767
CP047907.1	185	394	394
CP047908.1	185	544	544
CP047909.1	185	523	523
CP047910.1	185	330	330
CP047911.1	185	387	387
CP047912.1	185	560	560
CP047913.1	185	413	413
CP047914.1	185	617	617
CP047915.1	185	561	561
CP047902.1	186	562	562
CP047903.1	186	310	310
CP047904.1	186	432	432
CP047905.1	186	303	303
CP047906.1	186	681	681
CP047907.1	186	388	388
CP047908.1	186	486	486
CP047909.1	186	521	521
CP047910.1	186	237	237
CP047911.1	186	345	345
CP047912.1	186	564	564
CP047913.1	186	348	348
CP047914.1	186	609	609
CP047915.1	186	594	594
CP047902.1	187	449	449
CP047903.1	187	325	325
CP047904.1	187	311	311
CP047905.1	187	333	333
CP047906.1	187	603	603
CP047907.1	187	305	305
CP047908.1	187	356	356
CP047909.1	187	495	495
CP047910.1	187	224	224
CP047911.1	187	368	368
CP047912.1	187	489	489
CP047913.1	187	338	338
CP047914.1	187	475	475
CP047915.1	187	521	521
CP047902.1	188	445	445
CP047903.1	188	288	288
CP047904.1	188	295	295
CP047905.1	188	324	324
CP047906.1	188	547	547
CP047907.1	188	203	203
CP047908.1	188	336	336
CP047909.1	188	408	408
CP047910.1	188	229	229
CP047911.1	188	294	294
CP047912.1	188	474	474
CP047913.1	188	307	307
CP047914.1	188	451	451
CP047915.1	188	511	511
CP047902.1	189	374	374
CP047903.1	189	256	256
CP047904.1	189	207	207
CP047905.1	189	260	260
CP047906.1	189	442	442
CP047907.1	189	180	180
CP047908.1	189	257	257
CP047909.1	189	412	412
CP047910.1	189	181	181
CP047911.1	189	288	288
CP047912.1	189	385	385
CP047913.1	189	288	288
CP047914.1	189	379	379
CP047915.1	189	501	501
CP047902.1	19	376	376
CP047903.1	19	192	192
CP047904.1	19	277	277
CP047905.1	19	443	443
CP047906.1	19	211	211
CP047907.1	19	308	308
CP047908.1	19	438	438
CP047909.1	19	302	302
CP047910.1	19	279	279
CP047911.1	19	293	293
CP047912.1	19	339	339
CP047913.1	19	200	200
CP047914.1	19	268	268
CP047915.1	19	412	412
CP047902.1	190	316	316
CP047903.1	190	250	250
CP047904.1	190	146	146
CP047905.1	190	277	277
CP047906.1	190	392	392
CP047907.1	190	141	141
CP047908.1	190	203	203
CP047909.1	190	377	377
CP047910.1	190	182	182
CP047911.1	190	245	245
CP047912.1	190	402	402
CP047913.1	190	248	248
CP047914.1	190	355	355
CP047915.1	190	462	462
CP047902.1	191	280	280
CP047903.1	191	212	212
CP047904.1	191	146	146
CP047905.1	191	224	224
CP047906.1	191	346	346
CP047907.1	191	119	119
CP047908.1	191	196	196
CP047909.1	191	358	358
CP047910.1	191	147	147
CP047911.1	191	196	196
CP047912.1	191	372	372
CP047913.1	191	236	236
CP047914.1	191	350	350
CP047915.1	191	476	476
CP047902.1	192	209	209
CP047903.1	192	199	199
CP047904.1	192	106	106
CP047905.1	192	199	199
CP047906.1	192	287	287
CP047907.1	192	115	115
CP047908.1	192	158	158
CP047909.1	192	363	363
CP047910.1	192	142	142
CP047911.1	192	178	178
CP047912.1	192	339	339
CP047913.1	192	216	216
CP047914.1	192	302	302
CP047915.1	192	438	438
CP047902.1	193	238	238
CP047903.1	193	168	168
CP047904.1	193	101	101
CP047905.1	193	181	181
CP047906.1	193	257	257
CP047907.1	193	107	107
CP047908.1	193	140	140
CP047909.1	193	305	305
CP047910.1	193	146	146
CP047911.1	193	150	150
CP047912.1	193	266	266
CP047913.1	193	233	233
CP047914.1	193	233	233
CP047915.1	193	432	432
CP047902.1	194	176	176
CP047903.1	194	151	151
CP047904.1	194	111	111
CP047905.1	194	149	149
CP047906.1	194	293	293
CP047907.1	194	110	110
CP047908.1	194	143	143
CP047909.1	194	275	275
CP047910.1	194	130	130
CP047911.1	194	163	163
CP047912.1	194	238	238
CP047913.1	194	236	236
CP047914.1	194	213	213
CP047915.1	194	434	434
CP047902.1	195	164	164
CP047903.1	195	138	138
CP047904.1	195	89	89
CP047905.1	195	119	119
CP047906.1	195	280	280
CP047907.1	195	114	114
CP047908.1	195	128	128
CP047909.1	195	249	249
CP047910.1	195	105	105
CP047911.1	195	151	151
CP047912.1	195	254	254
CP047913.1	195	183	183
CP047914.1	195	210	210
CP047915.1	195	393	393
CP047902.1	196	136	136
CP047903.1	196	184	184
CP047904.1	196	105	105
CP047905.1	196	103	103
CP047906.1	196	223	223
CP047907.1	196	80	80
CP047908.1	196	124	124
CP047909.1	196	240	240
CP047910.1	196	70	70
CP047911.1	196	115	115
CP047912.1	196	216	216
CP047913.1	196	154	154
CP047914.1	196	231	231
CP047915.1	196	345	345
CP047902.1	197	105	105
CP047903.1	197	147	147
CP047904.1	197	101	101
CP047905.1	197	132	132
CP047906.1	197	191	191
CP047907.1	197	106	106
CP047908.1	197	102	102
CP047909.1	197	194	194
CP047910.1	197	63	63
CP047911.1	197	124	124
CP047912.1	197	193	193
CP047913.1	197	125	125
CP047914.1	197	195	195
CP047915.1	197	334	334
CP047902.1	198	92	92
CP047903.1	198	166	166
CP047904.1	198	94	94
CP047905.1	198	119	119
CP047906.1	198	195	195
CP047907.1	198	74	74
CP047908.1	198	114	114
CP047909.1	198	200	200
CP047910.1	198	77	77
CP047911.1	198	84	84
CP047912.1	198	173	173
CP047913.1	198	153	153
CP047914.1	198	185	185
CP047915.1	198	344	344
CP047902.1	199	98	98
CP047903.1	199	164	164
CP047904.1	199	74	74
CP047905.1	199	110	110
CP047906.1	199	178	178
CP047907.1	199	100	100
CP047908.1	199	86	86
CP047909.1	199	198	198
CP047910.1	199	66	66
CP047911.1	199	99	99
CP047912.1	199	142	142
CP047913.1	199	104	104
CP047914.1	199	208	208
CP047915.1	199	343	343
CP047902.1	2	1830	1830
CP047903.1	2	1450	1450
CP047904.1	2	1795	1795
CP047905.1	2	2055	2055
CP047906.1	2	1343	1343
CP047907.1	2	1304	1304
CP047908.1	2	1156	1156
CP047909.1	2	451	451
CP047910.1	2	1463	1463
CP047911.1	2	664	664
CP047912.1	2	2501	2501
CP047913.1	2	634	634
CP047914.1	2	1314	1314
CP047915.1	2	2487	2487
CP047902.1	20	284	284
CP047903.1	20	161	161
CP047904.1	20	227	227
CP047905.1	20	542	542
CP047906.1	20	155	155
CP047907.1	20	317	317
CP047908.1	20	461	461
CP047909.1	20	267	267
CP047910.1	20	330	330
CP047911.1	20	332	332
CP047912.1	20	328	328
CP047913.1	20	89	89
CP047914.1	20	270	270
CP047915.1	20	389	389
CP047902.1	200	87	87
CP047903.1	200	140	140
CP047904.1	200	98	98
CP047905.1	200	92	92
CP047906.1	200	174	174
CP047907.1	200	87	87
CP047908.1	200	78	78
CP047909.1	200	157	157
CP047910.1	200	62	62
CP047911.1	200	72	72
CP047912.1	200	124	124
CP047913.1	200	113	113
CP047914.1	200	188	188
CP047915.1	200	308	308
CP047902.1	201	71	71
CP047903.1	201	134	134
CP047904.1	201	68	68
CP047905.1	201	92	92
CP047906.1	201	167	167
CP047907.1	201	94	94
CP047908.1	201	66	66
CP047909.1	201	182	182
CP047910.1	201	61	61
CP047911.1	201	84	84
CP047912.1	201	91	91
CP047913.1	201	115	115
CP047914.1	201	139	139
CP047915.1	201	324	324
CP047902.1	202	67	67
CP047903.1	202	153	153
CP047904.1	202	75	75
CP047905.1	202	76	76
CP047906.1	202	142	142
CP047907.1	202	75	75
CP047908.1	202	76	76
CP047909.1	202	183	183
CP047910.1	202	45	45
CP047911.1	202	68	68
CP047912.1	202	92	92
CP047913.1	202	88	88
CP047914.1	202	128	128
CP047915.1	202	345	345
CP047902.1	203	51	51
CP047903.1	203	132	132
CP047904.1	203	68	68
CP047905.1	203	71	71
CP047906.1	203	140	140
CP047907.1	203	90	90
CP047908.1	203	95	95
CP047909.1	203	166	166
CP047910.1	203	53	53
CP047911.1	203	75	75
CP047912.1	203	83	83
CP047913.1	203	74	74
CP047914.1	203	128	128
CP047915.1	203	353	353
CP047902.1	204	39	39
CP047903.1	204	119	119
CP047904.1	204	76	76
CP047905.1	204	86	86
CP047906.1	204	120	120
CP047907.1	204	91	91
CP047908.1	204	67	67
CP047909.1	204	141	141
CP047910.1	204	71	71
CP047911.1	204	75	75
CP047912.1	204	84	84
CP047913.1	204	78	78
CP047914.1	204	116	116
CP047915.1	204	326	326
CP047902.1	205	39	39
CP047903.1	205	100	100
CP047904.1	205	77	77
CP047905.1	205	64	64
CP047906.1	205	140	140
CP047907.1	205	92	92
CP047908.1	205	67	67
CP047909.1	205	154	154
CP047910.1	205	67	67
CP047911.1	205	61	61
CP047912.1	205	69	69
CP047913.1	205	81	81
CP047914.1	205	116	116
CP047915.1	205	356	356
CP047902.1	206	53	53
CP047903.1	206	126	126
CP047904.1	206	59	59
CP047905.1	206	63	63
CP047906.1	206	167	167
CP047907.1	206	58	58
CP047908.1	206	63	63
CP047909.1	206	136	136
CP047910.1	206	70	70
CP047911.1	206	45	45
CP047912.1	206	88	88
CP047913.1	206	75	75
CP047914.1	206	125	125
CP047915.1	206	329	329
CP047902.1	207	47	47
CP047903.1	207	114	114
CP047904.1	207	82	82
CP047905.1	207	71	71
CP047906.1	207	133	133
CP047907.1	207	74	74
CP047908.1	207	61	61
CP047909.1	207	117	117
CP047910.1	207	58	58
CP047911.1	207	41	41
CP047912.1	207	108	108
CP047913.1	207	60	60
CP047914.1	207	126	126
CP047915.1	207	346	346
CP047902.1	208	40	40
CP047903.1	208	89	89
CP047904.1	208	75	75
CP047905.1	208	62	62
CP047906.1	208	143	143
CP047907.1	208	64	64
CP047908.1	208	50	50
CP047909.1	208	187	187
CP047910.1	208	67	67
CP047911.1	208	33	33
CP047912.1	208	72	72
CP047913.1	208	77	77
CP047914.1	208	124	124
CP047915.1	208	364	364
CP047902.1	209	59	59
CP047903.1	209	108	108
CP047904.1	209	66	66
CP047905.1	209	63	63
CP047906.1	209	132	132
CP047907.1	209	74	74
CP047908.1	209	44	44
CP047909.1	209	175	175
CP047910.1	209	53	53
CP047911.1	209	42	42
CP047912.1	209	74	74
CP047913.1	209	73	73
CP047914.1	209	122	122
CP047915.1	209	396	396
CP047902.1	21	358	358
CP047903.1	21	166	166
CP047904.1	21	275	275
CP047905.1	21	498	498
CP047906.1	21	186	186
CP047907.1	21	286	286
CP047908.1	21	554	554
CP047909.1	21	366	366
CP047910.1	21	339	339
CP047911.1	21	230	230
CP047912.1	21	332	332
CP047913.1	21	96	96
CP047914.1	21	237	237
CP047915.1	21	349	349
CP047902.1	210	67	67
CP047903.1	210	115	115
CP047904.1	210	81	81
CP047905.1	210	61	61
CP047906.1	210	129	129
CP047907.1	210	87	87
CP047908.1	210	57	57
CP047909.1	210	166	166
CP047910.1	210	74	74
CP047911.1	210	45	45
CP047912.1	210	60	60
CP047913.1	210	65	65
CP047914.1	210	120	120
CP047915.1	210	429	429
CP047902.1	211	63	63
CP047903.1	211	118	118
CP047904.1	211	60	60
CP047905.1	211	67	67
CP047906.1	211	130	130
CP047907.1	211	77	77
CP047908.1	211	50	50
CP047909.1	211	164	164
CP047910.1	211	62	62
CP047911.1	211	55	55
CP047912.1	211	65	65
CP047913.1	211	58	58
CP047914.1	211	106	106
CP047915.1	211	384	384
CP047902.1	212	74	74
CP047903.1	212	137	137
CP047904.1	212	45	45
CP047905.1	212	87	87
CP047906.1	212	103	103
CP047907.1	212	75	75
CP047908.1	212	48	48
CP047909.1	212	157	157
CP047910.1	212	64	64
CP047911.1	212	56	56
CP047912.1	212	90	90
CP047913.1	212	63	63
CP047914.1	212	108	108
CP047915.1	212	417	417
CP047902.1	213	58	58
CP047903.1	213	108	108
CP047904.1	213	52	52
CP047905.1	213	84	84
CP047906.1	213	92	92
CP047907.1	213	81	81
CP047908.1	213	53	53
CP047909.1	213	149	149
CP047910.1	213	38	38
CP047911.1	213	56	56
CP047912.1	213	81	81
CP047913.1	213	67	67
CP047914.1	213	78	78
CP047915.1	213	423	423
CP047902.1	214	66	66
CP047903.1	214	135	135
CP047904.1	214	43	43
CP047905.1	214	55	55
CP047906.1	214	98	98
CP047907.1	214	60	60
CP047908.1	214	38	38
CP047909.1	214	131	131
CP047910.1	214	46	46
CP047911.1	214	68	68
CP047912.1	214	93	93
CP047913.1	214	43	43
CP047914.1	214	94	94
CP047915.1	214	431	431
CP047902.1	215	61	61
CP047903.1	215	83	83
CP047904.1	215	35	35
CP047905.1	215	52	52
CP047906.1	215	90	90
CP047907.1	215	63	63
CP047908.1	215	62	62
CP047909.1	215	161	161
CP047910.1	215	32	32
CP047911.1	215	72	72
CP047912.1	215	76	76
CP047913.1	215	47	47
CP047914.1	215	80	80
CP047915.1	215	476	476
CP047902.1	216	58	58
CP047903.1	216	99	99
CP047904.1	216	45	45
CP047905.1	216	55	55
CP047906.1	216	85	85
CP047907.1	216	71	71
CP047908.1	216	55	55
CP047909.1	216	152	152
CP047910.1	216	35	35
CP047911.1	216	73	73
CP047912.1	216	76	76
CP047913.1	216	54	54
CP047914.1	216	96	96
CP047915.1	216	552	552
CP047902.1	217	69	69
CP047903.1	217	87	87
CP047904.1	217	49	49
CP047905.1	217	59	59
CP047906.1	217	118	118
CP047907.1	217	83	83
CP047908.1	217	45	45
CP047909.1	217	143	143
CP047910.1	217	19	19
CP047911.1	217	77	77
CP047912.1	217	79	79
CP047913.1	217	72	72
CP047914.1	217	90	90
CP047915.1	217	577	577
CP047902.1	218	60	60
CP047903.1	218	104	104
CP047904.1	218	28	28
CP047905.1	218	64	64
CP047906.1	218	103	103
CP047907.1	218	77	77
CP047908.1	218	28	28
CP047909.1	218	144	144
CP047910.1	218	25	25
CP047911.1	218	64	64
CP047912.1	218	104	104
CP047913.1	218	65	65
CP047914.1	218	87	87
CP047915.1	218	597	597
CP047902.1	219	60	60
CP047903.1	219	122	122
CP047904.1	219	38	38
CP047905.1	219	53	53
CP047906.1	219	93	93
CP047907.1	219	55	55
CP047908.1	219	37	37
CP047909.1	219	156	156
CP047910.1	219	17	17
CP047911.1	219	67	67
CP047912.1	219	95	95
CP047913.1	219	72	72
CP047914.1	219	93	93
CP047915.1	219	645	645
CP047902.1	22	352	352
CP047903.1	22	172	172
CP047904.1	22	289	289
CP047905.1	22	522	522
CP047906.1	22	188	188
CP047907.1	22	257	257
CP047908.1	22	422	422
CP047909.1	22	254	254
CP047910.1	22	421	421
CP047911.1	22	213	213
CP047912.1	22	285	285
CP047913.1	22	153	153
CP047914.1	22	192	192
CP047915.1	22	362	362
CP047902.1	220	34	34
CP047903.1	220	94	94
CP047904.1	220	44	44
CP047905.1	220	72	72
CP047906.1	220	98	98
CP047907.1	220	49	49
CP047908.1	220	32	32
CP047909.1	220	148	148
CP047910.1	220	23	23
CP047911.1	220	59	59
CP047912.1	220	79	79
CP047913.1	220	50	50
CP047914.1	220	93	93
CP047915.1	220	629	629
CP047902.1	221	49	49
CP047903.1	221	84	84
CP047904.1	221	43	43
CP047905.1	221	50	50
CP047906.1	221	74	74
CP047907.1	221	63	63
CP047908.1	221	40	40
CP047909.1	221	150	150
CP047910.1	221	17	17
CP047911.1	221	68	68
CP047912.1	221	68	68
CP047913.1	221	72	72
CP047914.1	221	74	74
CP047915.1	221	739	739
CP047902.1	222	54	54
CP047903.1	222	82	82
CP047904.1	222	51	51
CP047905.1	222	40	40
CP047906.1	222	81	81
CP047907.1	222	58	58
CP047908.1	222	54	54
CP047909.1	222	124	124
CP047910.1	222	30	30
CP047911.1	222	69	69
CP047912.1	222	76	76
CP047913.1	222	76	76
CP047914.1	222	67	67
CP047915.1	222	687	687
CP047902.1	223	56	56
CP047903.1	223	97	97
CP047904.1	223	54	54
CP047905.1	223	45	45
CP047906.1	223	76	76
CP047907.1	223	57	57
CP047908.1	223	33	33
CP047909.1	223	117	117
CP047910.1	223	25	25
CP047911.1	223	77	77
CP047912.1	223	67	67
CP047913.1	223	62	62
CP047914.1	223	87	87
CP047915.1	223	763	763
CP047902.1	224	60	60
CP047903.1	224	92	92
CP047904.1	224	43	43
CP047905.1	224	54	54
CP047906.1	224	87	87
CP047907.1	224	70	70
CP047908.1	224	62	62
CP047909.1	224	100	100
CP047910.1	224	19	19
CP047911.1	224	64	64
CP047912.1	224	52	52
CP047913.1	224	77	77
CP047914.1	224	99	99
CP047915.1	224	809	809
CP047902.1	225	67	67
CP047903.1	225	106	106
CP047904.1	225	41	41
CP047905.1	225	33	33
CP047906.1	225	78	78
CP047907.1	225	64	64
CP047908.1	225	49	49
CP047909.1	225	109	109
CP047910.1	225	24	24
